,rel_paths,label_names
0,/Fusarium Head Blight/4877aa73c6e258e2b476dbe9cf902bca.jpeg,['Fusarium Head Blight']
1,/Fusarium Head Blight/eaf8ec1429d6043af2fe9336b887dc86.jpeg,['Fusarium Head Blight']
2,/Fusarium Head Blight/eae5fe74a86a02747e6ed2162ac70790.jpeg,['Fusarium Head Blight']
3,/Fusarium Head Blight/68609b0b4bbbdcff8a01bea5b891f3a6.jpeg,['Fusarium Head Blight']
4,/Fusarium Head Blight/8d827dfc2d496911fb2617537e08b936.jpeg,['Fusarium Head Blight']
5,/Fusarium Head Blight/26d653ecaf2d6bb6a50ad8761a00c597.jpeg,['Fusarium Head Blight']
6,/Fusarium Head Blight/7b895966cfd59599a35dec1f35d6a10e.jpeg,['Fusarium Head Blight']
7,/Fusarium Head Blight/0f3ccd32ca13a26e35f7b04d48f21518.jpeg,['Fusarium Head Blight']
8,/Fusarium Head Blight/50113386f7b1138578014e544d6a5d04.jpeg,['Fusarium Head Blight']
9,/Fusarium Head Blight/8cdb8015caa88defddb3e1a0036943b4.jpeg,['Fusarium Head Blight']
10,/Fusarium Head Blight/59052fde60aa49641b88502f1c2b98ad.jpeg,['Fusarium Head Blight']
11,/Fusarium Head Blight/b3f4eaf4011ef30dfbb3ef2571824d14.jpeg,['Fusarium Head Blight']
12,/Fusarium Head Blight/8b10d67f47a0aa41c565f7ac6a779bdf.jpeg,['Fusarium Head Blight']
13,/Fusarium Head Blight/2536c2892665c0410e9d1d03e697621e.jpeg,['Fusarium Head Blight']
14,/Fusarium Head Blight/76cd138e535c9db385b52df832a759f6.jpeg,['Fusarium Head Blight']
15,/Fusarium Head Blight/89bd2072b312bce47615c34e0891ac67.jpeg,['Fusarium Head Blight']
16,/Fusarium Head Blight/5c71158c6117c54aeb7c053a377b771e.jpeg,['Fusarium Head Blight']
17,/Fusarium Head Blight/7ed16b593308e6bb522d86ee729c59e3.jpeg,['Fusarium Head Blight']
18,/Fusarium Head Blight/5951cedae8175a28e21efa2dd8de9e9f.jpeg,['Fusarium Head Blight']
19,/Fusarium Head Blight/2d8e216fe7cbde7a111435f93e0d4885.jpeg,['Fusarium Head Blight']
20,/Fusarium Head Blight/d7d496f76e7a2d4d17db5862a56dde3f.jpeg,['Fusarium Head Blight']
21,/Fusarium Head Blight/70d3276c1e17c8d63c1fe1eb61c72e76.jpeg,['Fusarium Head Blight']
22,/Fusarium Head Blight/8310c9d9cd21cd6370757c6dc12709d4.jpeg,['Fusarium Head Blight']
23,/Fusarium Head Blight/07cc84b412d0f1606f085a8bfdefeb02.jpeg,['Fusarium Head Blight']
24,/Fusarium Head Blight/4348c0c879cbaabcd6ab6b148e9e48af.jpeg,['Fusarium Head Blight']
25,/Fusarium Head Blight/ae5086c8ac70c1e09f175fb209c5178b.jpeg,['Fusarium Head Blight']
26,/Fusarium Head Blight/a253e717e28c3a0303daa19f6e3b765b.jpeg,['Fusarium Head Blight']
27,/Fusarium Head Blight/c8ca592bffcf9fe445944d357e7c42b2.jpeg,['Fusarium Head Blight']
28,/Fusarium Head Blight/bb2d2afdfcae5056e46661ea2945b02c.jpeg,['Fusarium Head Blight']
29,/Fusarium Head Blight/e0480d6e6cdb1e897c1cb98a7c4b33b8.jpeg,['Fusarium Head Blight']
30,/Fusarium Head Blight/1ef815d14e6eead19648731adfb51b16.jpeg,['Fusarium Head Blight']
31,/Fusarium Head Blight/9456ec3784d1fa391b8d7924be82970c.jpeg,['Fusarium Head Blight']
32,/Fusarium Head Blight/bd5d918f4088ddb2d1aa3a86d3ab2510.jpeg,['Fusarium Head Blight']
33,/Fusarium Head Blight/d88f276985564875c64f47c6b0fcd5dd.jpeg,['Fusarium Head Blight']
34,/Fusarium Head Blight/5d38f03b2b05c0088f8266a7ab2a44bf.jpeg,['Fusarium Head Blight']
